question,answer,tags
Do you price match if the item goes on sale later?,"Yes, request a one‑time price adjustment within 14 days of shipment if we lower the price of the same SKU.","orders,price-match,policy"
What is your return window?,Most products can be returned in like‑new condition within 30 days of delivery for a full refund.,"returns,policy,window"
How do I start a return?,"Submit a return request from My Orders, print the prepaid label, and drop the package at any UPS store.","returns,process"
Is return shipping free?,"Return shipping is free for defective items; for change‑of‑mind returns, USD 7 is deducted from the refund.","returns,shipping,cost"
When will I receive my refund?,Refunds are processed 3–5 business days after we inspect the returned item and will appear on your original payment method.,"returns,refund,timeline"
What if I receive a damaged product?,Please email photos of the damage within 48 hours; we’ll arrange a free pickup and replacement.,"returns,damaged-item,support"
How long is the warranty on laptops?,All TechMart laptops carry a 1‑year limited hardware warranty covering manufacturing defects.,"warranty,laptops,coverage"
Do accessories come with warranty coverage?,Accessories such as mice and keyboards include a 6‑month warranty unless stated otherwise.,"warranty,accessories"
Can I purchase extended warranty?,"Yes, you can add 2‑ or 3‑year Protection Plus plans during checkout or within 30 days of purchase.","warranty,extended,plans"
Are batteries covered under warranty?,"Rechargeable batteries are warranted for one year against manufacturing defects, excluding normal capacity loss.","warranty,battery"
What doesn’t the warranty cover?,"Physical damage, liquid spills, and unauthorised repairs are not covered under the standard limited warranty.","warranty,exclusions"
How do I reset my password?,Click Forgot Password on the sign‑in page and follow the link sent to your email to create a new password.,"account,password,security"
Can I change the email on my account?,"Yes. Go to My Account → Profile → Edit Email, enter the new address, and confirm via the verification email.","account,email,update"
Do you store my credit‑card details?,"For security, we tokenize card information through PCI‑compliant processors; TechMart never sees or stores raw card numbers.","security,payment,privacy"
How do I enable two‑factor authentication?,"Under My Account → Security, toggle 2‑Factor Auth and scan the QR code with your authenticator app.","security,2fa,account"
How can I delete my TechMart account?,Submit an account‑closure request via Privacy Settings; we’ll email confirmation once data removal is complete.,"account,privacy,deletion"
How do I pair the SoundWave ANC headphones to my phone?,"Hold the power button for 3 seconds until the LED flashes blue, then select ‘SoundWave ANC’ in your Bluetooth menu.","how-to,headphones,bluetooth"
What ports should I use to connect the UltraBook Pro to an external 4K monitor?,Use either Thunderbolt 4 port with a USB‑C → DisplayPort cable for best 4K 60 Hz output.,"how-to,laptop,display,ultrabook-pro"
Can the VisionView 27 monitor charge my laptop over USB‑C?,"Yes, the monitor’s USB‑C port provides up to 65 W Power Delivery while transmitting video and data.","monitor,power-delivery,usb-c"
How do I activate game mode on the VisionView 34 ultrawide?,"Press the joystick under the bezel, navigate to Game Settings, and toggle Game Mode for 1 ms response time.","monitor,settings,game-mode"
Does the KeyMaster RGB keyboard work on macOS?,"Yes, slide the OS switch on the back to Mac, then it will map Option and Command correctly.","keyboard,macos,compatibility"
How do I clean the GlideMouse Ergo trackball?,"Gently pop out the ball with a pen cap, wipe lint from the sensor rollers with a microfiber cloth, and re‑insert.","mouse,maintenance,trackball"
Is the DataVault 2 TB SSD compatible with Xbox Series X?,"Yes, connect via the front USB‑C port and format as external storage in the console settings.","storage,console,compatibility"
Can I use the ChargeHub 100 W charger on airplanes?,Absolutely. It meets FAA carry‑on regulations and dynamically limits output when only one port is used to 65 W.,"power,travel,regulations"
What DPI settings are available on GlideMouse Wireless?,"The mouse cycles through 400, 800, 1600, 3200, 6400, 12 800, and 26 000 DPI via the top button.","mouse,dpi,settings"
How do I switch profiles on KeyMaster Compact 65?,"Hold Fn + 1/2/3 for 3 seconds to toggle between wired, Bluetooth 1, and Bluetooth 2 profiles.","keyboard,profiles,bluetooth"
How often do you run site‑wide sales?,"We run major sales during Black Friday, Cyber Monday, and a Summer Tech Fest; sign up for our newsletter for early alerts.","promotions,sales,frequency"
Do promo codes stack with student discounts?,"Promo codes cannot be combined, but the 10 % student discount applies automatically to eligible items.","promotions,student-discount,policy"
Can I buy a digital gift card and have it emailed on a specific date?,"Yes, choose ‘Schedule Delivery’ during purchase and pick the exact date for the e‑gift card email.","gift-card,email,scheduling"
Do gift cards expire?,"No, TechMart gift cards never expire and have no inactivity fees.","gift-card,expiration,policy"
Where do I enter my student verification to get the discount?,Verify your .edu email on the Student Program page before checkout; the 10 % discount will auto‑apply.,"promotions,student-discount,verification"
