issue_title,product_id,symptoms,steps
StreamCam HD video appears blurry,SKU017,1080p feed looks soft; autofocus hunts continuously.,"1. Peel off the transparent lens sticker.
2. Open the companion app and set Focus Mode to Auto.
3. Ensure there is sufficient lighting; autofocus needs >50 lux.
4. Update webcam firmware from Settings → About."
PrintEase 2500 paper jams,SKU018,Paper crumples halfway; error 0xA3 flashes on LCD.,"1. Remove all paper and reseat the stack, fanning the edges.
2. Open the rear door and gently pull out stuck sheets.
3. Check that the paper type matches driver settings.
4. Clean the pickup rollers with the provided swab."
PrintEase 2500 prints only grayscale,SKU018,Color documents come out black‑and‑white even with new cartridges.,"1. In Print Preferences, make sure ‘Grayscale’ isn’t checked.
2. Run ‘Nozzle Check’ and ‘Head Clean’ from Maintenance tab.
3. Verify all four ink tanks show >10 %.
4. Reinstall driver version 4.2 or higher."
NetLink AX6000 Wi‑Fi drops intermittently,SKU019,"Devices show ‘Connected, no internet’ for 30–60 seconds.","1. Update router firmware to build 1.1.9.
2. Disable Smart Connect and assign unique SSIDs per band.
3. Set Channel Width to 80 MHz instead of 160 MHz.
4. Relocate router away from microwave ovens and cordless phones."
Cannot access router admin page,SKU019,Entering 192.168.1.1 returns ‘site can’t be reached’.,"1. Connect via Ethernet and retry the URL http://router.local.
2. Reset browser cache or use incognito.
3. Press the router reset pin for 10 seconds to restore defaults.
4. Ensure your PC has a 192.168.1.x IP by renewing DHCP."
DataVault SSD not recognized by Windows,SKU020,Drive letter missing; Disk Management shows ‘Unallocated’.,"1. Try a different USB‑C cable rated 10 Gbps.
2. Run ‘Initialize Disk’ in Disk Management and create an NTFS volume.
3. Disable USB selective suspend in Power Options.
4. Update USB controller drivers from the motherboard vendor."
ChargeHub 100 W charger feels hot,SKU021,Surface reaches ~60 °C when charging two laptops.,"1. Verify total load is under 100 W (check laptop power draw).
2. Use both USB‑C ports instead of daisy‑chaining devices.
3. Place charger on a hard surface for airflow.
4. Firmware v2.0 limits thermals; update via ChargeHub app."
PulseSpeaker Smart ignores voice command,SKU022,LED ring lights but assistant doesn’t respond.,"1. Mute switch may be engaged; slide it to ‘On’.
2. Retrain the wake word in the companion app.
3. Power‑cycle the speaker and reconnect Wi‑Fi.
4. Factory‑reset by holding Play + Volume‑Down for 12 seconds."
GamePad Pro joystick drift,SKU023,Camera pans slowly even when stick is untouched.,"1. Calibrate in Windows Game Controller settings.
2. Blow compressed air around the joystick bases.
3. Update firmware via GamePad Tool 1.3.
4. If drift persists, request a Hall‑sensor replacement under warranty."
UltraBook Pro cannot output 4K@60 Hz,SKU001,External monitor capped at 30 Hz over HDMI.,"1. Use a USB‑C → DisplayPort cable rated DP 1.4.
2. In Intel Graphics Command Center, set Display Refresh to 60 Hz.
3. Ensure monitor input is set to DisplayPort 1.4.
4. Update GPU driver 31.0.101.5000 or newer."
UltraBook Air Wi‑Fi disconnects frequently,SKU002,Wi‑Fi icon drops then reconnects every 15 minutes.,"1. Install Intel Wi‑Fi driver 23.30 or later.
2. Turn off Wi‑Fi power‑saving in Device Manager.
3. Forget and re‑add the network, ensuring WPA3 is disabled if unsupported.
4. Test on 2.4 GHz to check for 5 GHz congestion."
Zenith X5 battery drains overnight,SKU014,Battery drops 20 % while idle on standby.,"1. Disable ‘Always‑on display’ in Settings.
2. Turn off 120 Hz refresh when not gaming.
3. Check Battery Usage to identify rogue apps.
4. Install firmware patch X5‑1.0.7."
Zenith X5 cannot access 5G network,SKU014,Status bar shows LTE even in 5G‑covered areas.,"1. Ensure 5G is enabled under Settings → Mobile Network.
2. Reinsert SIM and reboot.
3. Contact carrier to confirm 5G provisioning.
4. Dial *#*#4636#*#* and set Preferred Network to NR/LTE/CDMA."
TabView Plus stylus not detected,SKU016,Pen strokes don’t register; tablet ignores hover.,"1. Replace the AAAA battery inside the stylus.
2. Toggle Bluetooth off/on on the tablet.
3. Remove case or magnetic covers that can interfere.
4. Open Pen Settings and re‑pair the stylus."
TabView Plus keyboard cover not connecting,SKU016,Physical keyboard doesn’t type; on‑screen keyboard appears.,"1. Wipe pogo‑pin contacts with a dry microfiber cloth.
2. Detach and reattach the cover firmly.
3. Update tablet firmware TBP‑OTA‑3.04.
4. Test the cover on another TabView Plus if possible."
SolarPack power bank not charging devices,SKU025,Phone shows ‘Charging…’ then stops after 3 seconds.,"1. Double‑press the power button to force 5 V mode.
2. Swap USB‑C cable; use E‑marked cable for PD output.
3. Check remaining capacity LEDs (must be >1 bar).
4. If still failing, reset by holding Power for 15 seconds."
Solar panel trickle‑charge not working,SKU025,Solar indicator never lights up even in direct sunlight.,"1. Unfold panels completely and angle them toward the sun.
2. Ensure the surface temperature is above 10 °C; cold impedes charging.
3. Disconnect any load while solar‑charging.
4. Solar LEDs only light when input current >50 mA; wait 5 minutes."
UltraBook Pro overheating under load,SKU001,CPU hits 95 °C and throttles during video calls.,"1. Clean fans with compressed air through rear vents.
2. Elevate rear of laptop by 2 cm using a stand.
3. Install BIOS v1.10 which revises fan curve.
4. Undervolt CPU by ‑50 mV using Intel XTU (advanced users)."
PowerTower X GPU fan rattles,SKU003,Rattling noise at 2000 RPM; stops when case is tapped.,"1. Check if a cable is rubbing against the GPU fan blades.
2. Tighten the GPU mounting screws.
3. Update GPU BIOS which raises the idle‑stop threshold.
4. If blades are chipped, request an RMA."
VisionView 27 USB‑C power delivery not working,SKU005,"Laptop reports ‘Plugged in, not charging’ via monitor’s USB‑C.","1. Use the supplied USB‑C cable rated 5 A.
2. Set USB‑C Prioritisation to ‘Power + Display’ in OSD.
3. Update monitor firmware v1.03 via USB‑B uplink.
4. Ensure laptop negotiates ≤65 W; gaming laptops may exceed."
GlideMouse Wireless DPI button non‑responsive,SKU010,Pressing DPI button yields no LED color change.,"1. Slide power switch off, then on to reset micro‑controller.
2. Install GlideMouse Config and check DPI button is mapped.
3. Update firmware 2.02 which fixes button debounce.
4. If hardware fail, request replacement top shell."
SoundWave ANC won’t enable noise cancelling,SKU008,ANC LED stays off; ambient sounds unchanged.,"1. Charge headphones to at least 20 %.
2. Hold ANC button for 2 seconds until voice prompt ‘Noise cancelling’.
3. Update firmware 1.4 via SoundWave app.
4. Factory‑reset (Power + ANC button 10 seconds) and re‑pair."
Earbuds charging case won’t charge,SKU009,Case LED blinks red when plugged in; battery remains at 0 %.,"1. Use a 5 V 1 A charger; case doesn’t support fast charge.
2. Clean USB‑C port with a wooden toothpick.
3. Check cable integrity by charging another device.
4. Reset the case by holding button inside for 15 seconds."
PulseSpeaker Bluetooth audio lag,SKU022,Video lipsync delay ~300 ms over Bluetooth.,"1. Switch to AAC codec in phone developer options.
2. Place speaker within 1 m of source to avoid latency‑inducing retransmits.
3. Update firmware 3.0 which adds low‑latency mode.
4. Use 3.5 mm aux input for zero‑latency playback."
DataVault SSD slow transfer speeds,SKU020,Writes cap at 50 MB/s instead of 1000 MB/s.,"1. Ensure USB mode negotiates 10 Gbps (Superspeed+).
2. Format drive as exFAT with 128 KB allocation.
3. Disable real‑time antivirus during transfer.
4. Connect directly to PC port, not through a hub."
Mesh satellite won’t connect to AX6000,SKU019,Satellite LED flashes orange; app shows ‘waiting for router’.,"1. Place satellite within 10 m of router for initial pairing.
2. Press Sync on router then satellite within 2 minutes.
3. Update both units to firmware 1.1.9.
4. Factory‑reset satellite and redo mesh setup."
Printer Wi‑Fi setup fails,SKU018,Printer LCD shows ‘Connection Failed’ error −3.,"1. Ensure router SSID is 2.4 GHz; printer doesn’t support 5 GHz.
2. Enter password carefully; passwords are case‑sensitive.
3. Move printer within 5 m of router during setup.
4. Disable MAC filtering on router or add printer MAC address."
CreatorsStation Pro emits BIOS beep codes,SKU004,Three long beeps repeat after power on; no video output.,"1. Check ECC RAM modules; reseat or swap slots.
2. Disconnect GPU and boot with integrated graphics.
3. Clear CMOS using the jumper for 10 seconds.
4. If still beeping, contact support with beep pattern details."
GamePad Pro won’t connect to phone,SKU023,Controller LED pulses blue; phone never shows pairing request.,"1. Hold Share + Home for 5 seconds to enter mobile mode.
2. Forget old GamePad Pro entry in Bluetooth list and scan again.
3. Toggle phone Bluetooth off/on.
4. Reset controller by inserting a pin into the back reset hole for 3 seconds."
"CoreStation S5 Desktop Fails to Boot (Power On, No Display)",SKU281,"When pressing the power button, the CoreStation S5's case and fans power on (lights and fans spin), but there is no display output on the monitor. No BIOS logo appears. The monitor reports 'No Signal.' The GPU fans may also be spinning. No beep codes are heard.","1. Confirm the monitor is powered on and the correct input source is selected.
2. Check both ends of the display cable (HDMI or DisplayPort) connecting the GPU and monitor. Securely reconnect them, or try a different cable if available.
3. Ensure the display cable is connected to the GPU's display ports (near the bottom of the case), not the motherboard ports higher up.
4. Power off the desktop and unplug it from the wall. Wait 1 minute.
5. Open the side panel of the case. Carefully check that the NVIDIA GeForce RTX 4060 is fully seated in its PCIe slot and that the power connector(s) from the PSU are fully plugged into the GPU.
6. Reseat the RAM modules: Remove each RAM stick and firmly reinstall it into its slot.
7. Reconnect power and try to boot the system again.
8. If the issue persists, test the monitor with another device, or try another monitor.
9. If none of the above steps resolve the issue, contact TechMart support for further assistance as the GPU or motherboard may require service."
Controller Not Charging via USB-C,SKU116,"When connecting the PulseEdge Wireless Pro Controller to a USB-C charger or PC port, the charging LED does not light up, and the controller does not gain any battery charge. The controller may still function in wired mode but does not increase battery level.","1. Ensure you are using the original USB-C cable supplied with the controller or a certified data/charging cable.
2. Try connecting the controller to a different USB port on your PC, console, or charger.
3. Inspect the USB-C port on the controller for dust or debris and gently clean with compressed air if needed.
4. Check the charging cable for visible damage or bent connectors; try a different cable if possible.
5. Hold the controller's power button for 10 seconds to perform a soft reset, then reconnect to the charger.
6. If the charging LED still does not illuminate, attempt to charge the controller from a different power source (wall adapter, power bank, or another PC).
7. If the controller continues to not charge, contact TechMart support for further assistance or warranty evaluation."
Laptop Stand Height Adjustment Mechanism Stuck,SKU087,"The FlexStand Air cannot be raised or lowered. When attempting to adjust the stand's height, the mechanism feels jammed or stiff, and the stand does not move smoothly through its full height range (5–27 cm). No visible debris is present, and the stand is not supporting a load above its maximum capacity.","1. Remove your laptop and any objects from the stand to ensure it is unloaded.
2. Inspect the adjustment joints and moving parts for visible obstructions, such as dust or debris. Gently clear any particles using a soft brush or compressed air.
3. Check if any screws or fasteners on the adjustment arms are overly tightened. If so, carefully loosen them with an appropriate screwdriver, but do not remove them completely.
4. Attempt to adjust the height again by pressing the adjustment button or lever while supporting the base. Apply steady, even pressure—do not force the mechanism.
5. If the stand still does not move, apply a small amount of silicone-based lubricant to the sliding tracks or joints (avoid oil-based lubricants, as these may damage the anodized finish).
6. Wipe away any excess lubricant and try adjusting the height once more.
7. If the issue persists, discontinue use and contact TechMart Support for further assistance or a warranty claim."
Keyboard Not Detected in Bluetooth Mode,SKU101,"When attempting to connect the KeyFlow Wireless Pro Keyboard via Bluetooth, your device does not detect the keyboard in the list of available Bluetooth devices. The keyboard's Bluetooth indicator light may flash blue but pairing never completes.","1. Ensure the keyboard is switched to Bluetooth mode by toggling the connection switch to the Bluetooth icon.
2. Confirm the keyboard's battery is charged (plug in the USB-C cable for at least 30 minutes if unsure).
3. Hold the 'Fn' + '1' keys together for 3 seconds to enter Bluetooth pairing mode. The blue indicator should blink rapidly.
4. On your computer or mobile device, open Bluetooth settings and scan for new devices. Look for 'KeyFlow Wireless Pro' in the device list.
5. If not detected, turn Bluetooth off and on again on your device, then repeat step 3.
6. If still not found, restart both the keyboard (turn off, then on) and your device.
7. Try pairing with a different device to check if the issue persists. If no devices can detect the keyboard, perform a keyboard reset: Hold 'Fn' + 'Esc' for 5 seconds until the lights blink.
8. If the problem remains unresolved, contact TechMart support for further assistance."
USB-C Port Not Charging Devices,SKU167,"When connecting a device to either USB-C port, the device does not begin charging. The device may not recognize the charger, or may intermittently connect and disconnect. The USB-A port may still work normally.","1. Ensure the PowerCore Fusion 90W is securely plugged into a working wall outlet.
2. Try charging a different device with the same USB-C port to determine if the issue is with the charger or the original device/cable.
3. Use a different USB-C cable known to work with other chargers to rule out a faulty cable.
4. Check if the USB-C port is visibly damaged or dirty; if so, gently clean with a dry, soft brush.
5. Unplug the charger from the wall, wait 60 seconds, and plug it back in to reset the unit.
6. If both USB-C ports fail to charge any device after these steps, and the USB-A port works, contact TechMart support for warranty service or replacement."
Laptop Stand Height Adjustment Stuck or Jammed,SKU087,"The FlexStand Air cannot be raised or lowered smoothly. The height adjustment mechanism feels stuck, jams partway, or requires excessive force. The stand may not lock securely at the desired height.","1. Remove your laptop and ensure the stand is empty to prevent damage.
2. Inspect both sides of the height adjustment arms for visible obstructions, debris, or bent sections.
3. Gently try to move the stand through the full height range (5–27 cm) without forcing it. If resistance is felt, stop immediately.
4. Check for any foreign objects (such as small particles or cables) caught in the hinges or joints; remove them carefully.
5. Using a soft, dry cloth, wipe down the adjustment rails and pivot points to remove dust or residue.
6. If the mechanism still does not move, check for visible misalignment—both sides should move evenly and smoothly. If one side is higher or lower, gently align them by hand.
7. Do NOT apply lubricants, as these may damage the anodized aluminum finish or attract dust.
8. If the stand remains jammed or adjustment is not possible, discontinue use and contact TechMart support with your purchase details for further assistance."
Active Stylus Pen Not Responding on TabAxis 11 Pro,SKU318,"When using the Active Stylus Pen, the tablet does not register any input—no drawing, handwriting, or touch response from the pen. The pen's LED indicator does not light up, and it does not interact with the 11-inch display, though finger touch works normally.","1. Ensure the stylus pen is fully charged. Connect it to the USB-C charger for at least 30 minutes, then try again.
2. Remove the stylus from the Bluetooth devices list (if paired) and re-pair it: Go to Settings > Bluetooth > Forget 'TabAxis Stylus', then hold the pairing button on the pen for 3 seconds to enter pairing mode. Reconnect from the tablet.
3. Clean the tablet display and stylus tip gently with a microfiber cloth to remove any debris.
4. Restart the TabAxis 11 Pro by holding the power button for 10 seconds and turning it back on.
5. Check if the stylus works in other supported apps (e.g., Notes, Drawing app). If it works in some but not others, update or reinstall the affected apps.
6. If the pen's LED does not light up or the issue persists, try the pen on another compatible device if available. If it still does not work, the pen may require replacement. Contact TechMart Support for further assistance."
Webcam Not Detected by Computer,SKU258,"When connecting the ClearStream Pro 4K Webcam via USB-C, your computer does not recognize the device. The webcam does not appear in video conferencing apps, and is missing from the system's device list. The indicator LED on the webcam remains off.","1. Verify that the USB-C cable is securely connected to both the webcam and your computer.
2. Test the webcam on a different USB-C port on your computer, if available.
3. Try using a different USB-C cable that supports data transfer (not just charging), as some cables are charge-only.
4. Connect the webcam to another computer to determine if the issue is with the webcam or the original computer.
5. On your computer, open Device Manager (Windows) or System Information > USB (macOS) and check if the webcam is listed under imaging devices or USB devices.
6. If the webcam is not listed, restart your computer and reconnect the webcam after booting.
7. Ensure your operating system is fully updated, and check for any optional driver updates related to USB controllers or cameras.
8. If using a USB hub, connect the webcam directly to the computer, as some hubs may not provide sufficient power or data bandwidth.
9. If the webcam still isn't detected, contact TechMart support for further assistance or to request a replacement if the device is faulty."
Controller Not Detected via Wireless Connection,SKU071,"The PulseEdge Elite Wireless Controller does not appear in your device's Bluetooth or 2.4GHz wireless device list. LED indicator on the controller keeps blinking blue or green, and the controller is unresponsive in games. The controller works normally when connected via USB-C.","1. Ensure the controller is fully charged by connecting it to a power source using the USB-C cable. Wait at least 30 minutes before retrying.
2. If using Bluetooth: Press and hold the Pair button for 3 seconds until the LED flashes blue. On your device (PC, console, mobile), open Bluetooth settings and search for new devices. Select 'PulseEdge Elite' to pair.
3. If using the 2.4GHz dongle: Insert the dongle into a USB port on your device. Press the Pair button on the controller until the LED flashes green, then press the sync button on the dongle (if available).
4. Move the controller closer to your device (within 1-2 meters) to rule out wireless interference. Remove or turn off other wireless devices in the area.
5. Restart your device and try reconnecting the controller wirelessly.
6. If the controller still isn't detected, reset it by inserting a pin into the small reset hole on the back of the controller for 5 seconds.
7. Test the controller on another compatible device to determine if the issue is device-specific.
8. If the problem persists, contact TechMart support for further assistance or a possible replacement."
USB-C Port Not Delivering Power,SKU141,"Devices connected to either USB-C port do not charge or power on. The device's battery indicator does not show charging, and no charging LED appears on the device. The USB-A port continues to work normally.","1. Unplug all cables and devices from the PowerCore Flex 120W GaN Charger.
2. Inspect the USB-C cables for visible damage, kinks, or bent connectors. Try a different USB-C cable if available.
3. Plug the charger into a known working wall outlet. Wait 10 seconds, then reconnect your device to one USB-C port.
4. Test both USB-C ports separately with your device. Confirm that your device supports USB-C Power Delivery (PD).
5. If neither USB-C port works, but the USB-A port still charges devices, reset the charger by unplugging it from the wall for 60 seconds, then plug it back in.
6. If USB-C ports still do not deliver power, test with a different device (e.g., another phone or laptop) to rule out device incompatibility.
7. If the issue persists after these steps, contact TechMart support with your purchase details and troubleshooting results."
FlashCore X5 NVMe SSD Not Detected by System,SKU297,"The FlashCore X5 NVMe SSD is not visible in the BIOS/UEFI or the operating system. Users may notice that the drive does not appear as a boot option or as a storage device in Windows Disk Management, macOS Disk Utility, or Linux fdisk/lsblk. No drive activity LEDs light up (if present), and data stored on the drive is inaccessible.","1. Power down your computer and unplug it from the wall.
2. Open your computer case and ensure the FlashCore X5 is firmly seated in the M.2 slot. Remove and re-insert the SSD if necessary.
3. Verify that the M.2 slot supports PCIe Gen4 x4 NVMe drives. Consult your motherboard manual if unsure.
4. Check for any dust or debris in the M.2 slot and gently clean if needed.
5. Reconnect the system power, turn on your PC, and enter the BIOS/UEFI setup. Look for the drive under storage devices.
6. If the drive is not detected, update your motherboard BIOS/UEFI to the latest version from the manufacturer’s website.
7. Boot into your operating system and check if the SSD appears in Disk Management (Windows), Disk Utility (macOS), or via the 'lsblk' command (Linux).
8. If the drive is still missing, try installing it in a different compatible system or M.2 slot to rule out slot or motherboard compatibility issues.
9. If none of the above steps work, contact TechMart Support for further assistance or to check warranty/replacement options."
Precision Stylus Pen Not Responding on TabFlow X10,SKU168,"The Precision Stylus Pen does not interact with the TabFlow X10 screen. Touch input with fingers works as expected, but the stylus does not draw, select, or register any actions. The pen's LED (if present) may remain off or blink intermittently. Replacing the pen battery does not resolve the issue.","1. Ensure the Precision Stylus Pen is fully charged or has a fresh battery installed.
2. Detach and reattach the magnetic keyboard folio (if connected), as accessory interference can sometimes disrupt stylus function.
3. Inspect the stylus tip for visible damage or debris; clean gently with a microfiber cloth if needed.
4. Restart the TabFlow X10 by holding the power button for 10 seconds, then turn it back on.
5. Go to Settings > Connected Devices > Stylus and verify that the stylus is detected. If not, tap 'Refresh' or 'Pair New Device'.
6. If the stylus is still unresponsive, open Settings > System > Software Update and install any available updates.
7. Test the stylus on another compatible device (if available), or test a different stylus on the TabFlow X10 to isolate the issue.
8. If the problem persists, contact TechMart support for further assistance or warranty evaluation."
USB-C Port Not Delivering Expected Power Output,SKU141,Devices connected to either USB-C port charge slowly or do not charge at all. Laptops may display 'charging slowly' or 'not charging' notifications. Other devices may fail to recognize the charger when connected via USB-C.,"1. Disconnect all devices and unplug the PowerCore Flex 120W GaN Charger from the wall outlet.
2. Inspect the USB-C cables for any visible damage or wear; try using a different, known-good USB-C cable.
3. Plug the charger back into a working wall outlet and reconnect your device to one USB-C port at a time.
4. Ensure your device supports USB Power Delivery (PD) and is compatible with high-wattage charging.
5. Check if both USB-C ports exhibit the same issue. Test with another device if possible.
6. If charging still fails or is slow, make sure you are not connecting devices to all three ports at once, as total output is shared across all ports and may be limited if multiple high-power devices are connected.
7. If the issue persists after trying the above steps, contact TechMart support for further assistance or possible replacement."
5GHz WiFi Band Not Visible to Devices,SKU183,Some wireless devices cannot detect or connect to the 'NetStream AX6000' 5GHz WiFi networks (either 5GHz-1 or 5GHz-2). The 2.4GHz network is visible and working. LED indicators for 5GHz bands on the router may be off or blinking. Wired LAN connections work normally.,"1. Ensure that your device supports 5GHz WiFi (older devices may only support 2.4GHz).
2. Check that the 5GHz WiFi LEDs are illuminated on the router. If not, proceed to the next step.
3. Log into the router's web interface by entering 'http://192.168.1.1' in your browser. Use your admin credentials.
4. Navigate to Wireless Settings > Advanced.
5. Verify that both 5GHz-1 and 5GHz-2 wireless radios are enabled. If either is disabled, enable it and click 'Save'.
6. Confirm that the SSIDs (network names) for the 5GHz bands are unique and visible (not set to hidden/stealth mode).
7. Check the channel settings for the 5GHz bands. Set the channel to 'Auto' or select a channel between 36–48 or 149–161, as some devices do not support DFS channels (52–144).
8. Click 'Apply' or 'Save' and allow the router to reboot if prompted.
9. Move your device closer to the router and rescan for available WiFi networks.
10. If the issue persists, perform a power cycle: unplug the router, wait 30 seconds, and plug it back in.
11. If you still cannot see the 5GHz networks, reset the router to factory settings using the reset button (hold for 10 seconds). Set up your WiFi networks again.
12. If the problem remains unresolved, contact TechMart Support for hardware diagnostics."
Controller Not Detected via Bluetooth,SKU116,"When attempting to connect the PulseEdge Wireless Pro Controller wirelessly, the controller does not appear in the Bluetooth device list on your PC or gaming console. The status LED on the controller flashes blue rapidly, and it remains unpaired even after several attempts.","1. Ensure the controller is fully charged by connecting it via USB-C cable for at least 30 minutes.
2. Hold the Power button for 5 seconds to turn off the controller, then power it back on.
3. Activate pairing mode by holding the Bluetooth button until the LED flashes blue rapidly.
4. On your PC or console, open Bluetooth settings and scan for new devices. Look for 'PulseEdge Wireless Pro Controller' in the list.
5. If it does not appear, move the controller closer to the device (within 1 meter) and remove any potential sources of wireless interference (e.g., other Bluetooth devices, Wi-Fi routers).
6. Restart the PC or console and repeat the pairing process.
7. If the issue persists, reset the controller by inserting a paperclip into the reset hole on the back for 5 seconds, then try pairing again.
8. If none of these steps work, try connecting via USB-C to verify the controller's functionality. If USB works but Bluetooth still fails, contact TechMart support for further assistance."
Mouse Pointer Lagging or Stuttering During Use,SKU236,"While moving the GlidePro X9 Wireless Mouse, the pointer movement appears delayed, jerky, or unresponsive. This can occur intermittently or persistently. The mouse's LED indicator may remain solid or blink, but the issue persists regardless of surface. Other wireless devices may work fine.","1. Ensure the mouse is fully charged by connecting it to a USB power source for at least 1 hour. Low battery can cause performance issues.
2. Move the USB wireless dongle to a different USB port on your computer, preferably directly on the PC and not through a USB hub.
3. Remove any nearby sources of wireless interference (e.g., routers, cordless phones, other 2.4GHz devices) and keep the dongle within 30 cm of the mouse.
4. Clean the sensor on the underside of the mouse using a soft, dry cloth. Ensure no dust or debris is present on your mousepad or desk surface.
5. Try using the mouse on a different surface or mousepad. Shiny or reflective surfaces can interfere with the PixArt PAW3370 sensor.
6. Update or reinstall the mouse driver/software from the TechMart or GlidePro website.
7. If the issue persists, test the mouse on a different computer to determine if the problem is hardware-related. If stuttering continues, contact TechMart support for further assistance."
Keyboard Not Registering Key Presses in Bluetooth Mode,SKU064,"When using the KeyFlow Wireless Pro 75 in Bluetooth mode, none of the keys respond when pressed. The keyboard appears powered on (status LED is lit), but typing does not produce any input on the connected device. The keyboard may work normally when connected via USB-C cable.","1. Ensure the keyboard is sufficiently charged (at least 20% battery). If unsure, connect it to a power source using the USB-C cable for at least 30 minutes.
2. Toggle the keyboard's power switch off, wait 5 seconds, then turn it back on.
3. Verify the keyboard is in Bluetooth mode by checking the mode indicator (refer to the manual for indicator location).
4. On your computer/tablet/phone, remove (""forget"") the KeyFlow Wireless Pro 75 from your Bluetooth devices list.
5. Put the keyboard into pairing mode by holding the designated Bluetooth pairing key (usually Fn + specific key; see manual) until the Bluetooth LED flashes.
6. Search for Bluetooth devices on your device and re-pair with ""KeyFlow Wireless Pro 75"".
7. Test typing again. If still unresponsive, try restarting your device and repeat steps 4–6.
8. If the issue persists, try connecting the keyboard to a different device via Bluetooth to determine if the issue is device-specific.
9. If the keyboard works on other devices, update your computer's Bluetooth drivers. If it does not work on any device, contact TechMart Support for further assistance."
Laptop Stand Joints Become Loose and Cannot Hold Position,SKU075,"The FlexiStand Pro fails to hold the desired angle or height. When a laptop is placed, the stand's joints slip, causing the platform to collapse or tilt downward. Users may hear creaking noises or notice visible movement at the hinge points.","1. Remove your laptop from the stand to prevent accidental drops while troubleshooting.
2. Inspect each hinge joint on the stand for visible gaps or loose screws.
3. Using a suitable screwdriver (typically a 3mm or 4mm hex key), gently tighten the screws on each side of any loose joint. Be careful not to overtighten, as this may strip the threads or damage the joint.
4. Adjust the stand to your preferred angle and height, then press down gently on the platform to test if the joints hold steady.
5. If the stand still collapses, check for any missing or damaged washers in the joints; contact TechMart support if replacement parts are needed.
6. Clean any debris or dust from the hinge area, as buildup can prevent proper tightening.
7. Re-test the stand with your laptop placed carefully on top. If the issue persists despite these steps, discontinue use and contact TechMart for further assistance or warranty support."
